Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Sr. Data Scientist,₹1M - ₹2M ,-1,OMS Software Solutions India Pvt Lltd,Coimbatore,-1,-1,-1,-1,-1,-1
Machine Learning Engineer,₹308K - ₹764K ,3.9,Mindstix,Pune,51 to 200 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,-1,-1,DentalDost,Pune,-1,-1,-1,-1,-1,-1
Intern-Data Analytics,-1,3.8,Merkle,Pune,5001 to 10000 Employees,1971,Company - Private,Advertising & Public Relations,Media & Communication,$500 million to $1 billion (USD)
Machine Learning Engineer,₹327K - ₹766K ,3.9,Samyak Infotech,Ahmedabad,51 to 200 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Computer Vision Intern / Engineer,-1,2.9,TensorGo Technologies,Hyderābād,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,₹973K - ₹1M ,3.9,Standard Chartered,Chennai,10000+ Employees,1969,Company - Public,Investment & Asset Management,Financial Services,$5 to $25 million (USD)
Supply Chain Network Data & Analytics Specialist,-1,4.3,Colgate-Palmolive,Mumbai,10000+ Employees,1806,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Data Science Trainee,₹15K - ₹31K ,-1,AS Global Solutions,Hyderābād,-1,-1,-1,-1,-1,-1
Wobot.ai - Computer Vision Engineer,₹500K - ₹800K ,4.5,Wobot.ai,Remote,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Machine Learning & AI Online Trainer,-1,3.6,Prognoz,India,1001 to 5000 Employees,-1,Company - Private,Research & Development,Management & Consulting,$1 to $5 billion (USD)
Senior Machine Learning Engineer,-1,3.9,Baker Hughes,Mumbai,10000+ Employees,1907,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$5 to $10 billion (USD)
Data Science Online Trainer,-1,3.6,Prognoz,India,1001 to 5000 Employees,-1,Company - Private,Research & Development,Management & Consulting,$1 to $5 billion (USD)
Data Scientist - Machine Learning/Artificial Intelligence,₹300K - ₹2M ,-1,Partnersoft Technologies Private Limited,Chennai,-1,-1,-1,-1,-1,-1
Machine learning Engineer,₹281K - ₹402K ,4.2,Anblicks,Hyderābād,201 to 500 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Machine Learning Engineer,₹471K - ₹675K ,3.9,Infosys Limited,Bangalore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Junior Data Scientist - Artificial Intelligence Innovation,-1,4.1,Accenture,Bangalore,10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD)
Data Scientist (Computer Vision),-1,4.3,Sciffer,India,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Computer Vision Engineer,-1,4.5,Wobot Intelligence,Remote,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Scientist (Devops / Machine Learning/ Data Science),₹563K - ₹784K ,3.8,LTIMindtree,Bangalore,10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Computer Vision Engineer (Intern),-1,4.6,Stylumia Intelligence Technology,Bangalore,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Machine Learning Engineer,-1,-1,DentalDost,Pune,-1,-1,-1,-1,-1,-1
Data Scientist - Python,₹449K - ₹2M ,3.3,V R Della IT Services Private Limited,Tiruchchirāppalli,51 to 200 Employees,2012,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
AI/ML - Data Scientist,₹275K - ₹800K ,3.6,Neilsoft,Pune,501 to 1000 Employees,1993,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$100 to $500 million (USD)
Data Science - Intern,-1,-1,Ambee,Bangalore,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Computer Vision Intern / Engineer,-1,2.9,TensorGo Technologies,Hyderābād,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
AI/Machine Learning Engineer,₹240K - ₹600K ,1.9,AssetOne,Pune,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Computer Vision/Artificial Intelligence Architect,₹500K - ₹1M ,3.4,Larsen & Toubro Limited,Chennai,10000+ Employees,2014,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD)
